,name,batch,2021,2020,2019,2018,2017,2016,2015
69,北京信息科技大学,本科一批,33462,31039,29151,28227,27258,28432,28940
70,北京印刷学院,本科一批,62527,57472,64379,48886,48911,49591,46332
71,北京邮电大学,本科一批,5337,5463,5342,5348,5119,4881,4817
72,北京邮电大学世纪学院,本科二批,280640,284340,247892,239549,204233,204233,204233
73,北京语言大学,本科一批,30319,32658,34852,22847,19731,19367,22155
74,北京中医药大学,本科二批,79430,89567,89282,89282,89282,89282,89282
75,北京中医药大学,本科一批,22560,18475,21457,24015,67539,15165,15418
76,北京中医药大学东方学院,本科二批,198637,144698,139124,139883,144009,144009,144009
77,滨州学院,本科二批,283600,147501,141960,163888,124488,126705,126705
78,滨州医学院,本科二批,131200,119222,73020,100709,130905,65849,63075
79,亳州学院,本科二批,184349,179984,204917,170826,170826,170826,170826
80,渤海大学,本科二批,125339,114968,107111,105524,101077,100834,82619
81,沧州交通学院,本科二批,254608,215801,215808,181968,178298,178298,178298
82,沧州师范学院,本科二批,164055,164447,170400,173642,156110,152681,152681
83,昌吉学院,本科二批,217907,205778,229909,187538,183594,163055,163055
84,常熟理工学院,本科二批,125339,113569,113728,115409,97599,97211,97211
85,常州大学,本科一批,116712,49113,48470,47211,47284,46998,41898
86,常州大学怀德学院,本科二批,209890,210109,209699,212276,218091,218091,218091
87,常州工学院,本科二批,123956,109540,108397,112929,99938,102018,102018
88,巢湖学院,本科二批,297990,138907,134658,137269,132176,129271,129271
89,成都大学,本科一批,49827,46111,51294,59764,69405,69405,69405
90,成都东软学院,本科二批,201854,198608,197053,199851,200354,200354,200354
91,成都工业学院,本科二批,108202,104116,103209,101908,92959,93741,93741
92,成都理工大学,本科一批,28854,29485,31945,31384,31818,33816,34642
93,成都理工大学工程技术学院,本科二批,195410,195845,192243,181968,175678,175678,175678
94,成都体育学院,本科二批,141361,137488,143428,143825,183594,119224,119224
95,成都信息工程大学,本科一批,42114,38611,41266,45525,51363,51363,51363
96,成都医学院,本科一批,35077,38611,40404,45525,45525,45525,45525
97,成都银杏酒店管理学院,本科二批,277505,231205,262381,208167,210636,210636,210636
98,成都中医药大学,本科一批,66016,75906,40404,48886,42570,21414,21030
99,承德医学院,本科二批,118136,78357,88095,83888,154750,69854,67428
100,池州学院,本科二批,276009,146141,153726,153104,147954,151353,151353
101,赤峰学院,本科二批,208283,188599,206509,179170,195300,160352,160352
102,滁州学院,本科二批,131200,122058,124682,128060,110810,111724,111724
103,楚雄师范学院,本科二批,195410,184345,176534,176425,166587,161742,161742
104,川北医学院,本科一批,54949,53210,62311,62311,62311,62311,62311
105,大理大学,本科二批,138510,110870,108397,105524,103612,93741,93741
106,大连财经学院,本科二批,265432,259953,258045,266423,200354,200354,200354
107,大连大学,本科二批,109592,101503,94355,92631,91807,70854,64177
108,大连东软信息学院,本科二批,269968,262570,266754,257477,230381,230381,230381
109,大连工业大学,本科一批,60300,59698,63318,75582,75582,75582,75582
110,大连工业大学艺术与信息工程学院,本科二批,277505,274383,276546,246011,261217,261217,261217
111,大连海事大学,本科一批,25941,29485,90542,22847,20716,19367,20472
112,大连海洋大学,本科二批,131200,112214,109722,106733,89544,84704,75468
113,大连交通大学,本科二批,112446,101503,101503,101503,101503,101503,101503
114,大连交通大学,本科一批,53926,53210,64379,41539,41026,33816,31751
115,大连科技学院,本科二批,273082,279339,253798,230105,204233,204233,204233
116,大连理工大学,本科一批,9067,9274,8715,7555,8813,6071,6391
117,大连理工大学城市学院,本科二批,256159,258623,279199,193026,164009,164009,164009
118,大连民族大学,本科二批,104040,102795,105793,92631,86229,82440,82619
119,大连民族大学,本科一批,85633,110870,60165,57808,48911,53090,50008
120,大连外国语大学,本科一批,55959,50132,66504,35578,33135,35978,35978
121,大连医科大学,本科一批,80734,33477,85649,27041,26681,25354,17326
122,大连医科大学中山学院,本科二批,227590,198608,178112,153104,150662,150662,150662
123,大庆师范学院,本科二批,192193,187213,195442,181968,173111,160352,160352
124,德州学院,本科二批,165585,158828,161404,162553,157415,146130,146130
125,滇西科技师范学院,本科二批,189083,200217,181968,182265,182265,182265,182265
126,滇西应用技术大学,本科二批,179665,181490,203316,203316,203316,203316,203316
127,电子科技大学,本科一批,4219,4594,4877,5348,6409,6071,7172
128,电子科技大学成都学院,本科二批,154848,148936,155299,162553,167915,167915,167915
129,电子科技大学中山学院,本科二批,240321,239641,200217,187538,184879,184879,184879
130,东北财经大学,本科一批,29573,31866,22618,21709,24410,13858,14104
131,东北大学,本科一批,10919,11903,12858,12496,12392,11526,12020
132,东北大学秦皇岛分校,本科一批,17248,17277,18059,19586,20716,21414,22707
133,东北电力大学,本科一批,61408,48117,48470,48043,45681,40557,40216
134,东北林业大学,本科一批,33462,33477,35574,36312,38770,39011,38616
135,东北农业大学,本科一批,37676,38611,42168,42341,44062,43820,43618
136,东北师范大学,本科一批,25226,28686,27095,51463,25007,27217,26321
137,东北石油大学,本科一批,116712,77140,77523,69535,79696,52155,48104
138,东莞理工学院,本科一批,52925,50132,46572,52387,58183,58183,58183
139,东莞理工学院城市学院,本科二批,293683,229756,228295,226120,219274,219274,219274
140,东华大学,本科一批,16166,16698,15084,13715,13549,13858,14537
141,东华理工大学,本科一批,116712,52176,53206,55962,58183,70854,70854
142,东南大学,本科一批,4219,4347,4651,3960,4346,4259,4234
143,东南大学成贤学院,本科二批,165585,158828,156834,157199,165297,165297,165297
144,对外经济贸易大学,本科一批,6374,8900,76393,2652,2627,3138,3346
145,鄂尔多斯应用技术学院,本科二批,213085,190039,193825,191652,191652,191652,191652
146,防灾科技学院,本科二批,128279,127600,130391,130659,134821,134428,134428
147,佛山科学技术学院,本科二批,132697,138907,279199,111672,107188,120398,120398
148,福建工程学院,本科二批,145875,163015,279199,111672,107188,94891,94891
149,福建技术师范学院,本科二批,185975,204297,204297,204297,204297,204297,204297
150,福建江夏学院,本科二批,142881,127600,129013,128060,125749,106749,106749
151,福建警察学院,本科二批,137053,135998,147855,151756,151756,151756,151756
152,福建农林大学,本科二批,145875,124788,130391,120408,114586,121631,121631
153,福建农林大学,本科一批,80734,87025,53206,52387,53804,52155,56764
154,福建农林大学金山学院,本科二批,235515,247757,240565,234204,235169,235169,235169
155,福建商学院,本科二批,147350,128942,13,129399,124488,124155,124155
156,福建师范大学,本科一批,43027,46111,44724,40745,42570,45451,45373
157,福建师范大学协和学院,本科二批,227590,231205,229909,230105,216850,216850,216850
158,福建医科大学,本科一批,96108,51170,51294,76578,54663,34544,34544
159,福建中医药大学,本科二批,121053,104116,107111,101908,113302,80251,69728
160,福州大学,本科一批,26645,22276,20281,17669,17352,17427,19429
161,福州大学至诚学院,本科二批,224338,221408,215808,210923,210636,213996,213996
162,福州工商学院,本科二批,269968,274383,229909,242153,241986,241986,241986
163,福州理工学院,本科二批,257747,259953,265263,246011,247811,247811,247811
164,福州外语外贸学院,本科二批,265432,262570,269668,242153,246709,246709,246709
165,阜阳师范大学,本科二批,135597,131782,137646,139883,137486,138336,138336
166,阜阳师范大学信息工程学院,本科二批,289382,205778,222067,222067,222067,222067,222067
167,复旦大学,本科一批,227,298,173,230,417,232,243
168,复旦大学上海医学院,本科一批,472,443,220,319,277,277,277
169,甘肃民族师范学院,本科二批,190631,184345,189057,180543,175678,175678,175678
170,甘肃农业大学,本科二批,287920,134593,130391,129399,124488,129271,129271
171,甘肃医学院,本科二批,112446,101503,103209,93772,101077,101077,101077
172,甘肃政法大学,本科二批,115307,110870,112391,117903,107188,120398,120398
173,甘肃政法大学,本科一批,69571,83217,83217,83217,83217,83217,83217
174,甘肃中医药大学,本科二批,122496,109540,111061,142492,86229,84704,80151
175,甘肃中医药大学,本科一批,70771,67627,61214,70573,70573,70573,70573
176,赣东学院,本科二批,181262,211459,212792,198558,187480,187480,187480
177,赣南科技学院,本科二批,176475,208687,211300,220635,196567,196567,196567
178,赣南师范大学,本科二批,125339,120651,120507,119108,119499,130602,130602
179,赣南师范大学,本科一批,75663,82003,91816,91816,91816,91816,91816
180,赣南师范大学科技学院,本科二批,195410,205778,204917,215061,218091,218091,218091
181,赣南医学院,本科二批,129750,123435,200217,190262,73470,79105,72028
182,赣南医学院,本科一批,51895,56402,53206,58817,58817,58817,58817
183,广东财经大学,本科一批,53926,53926,53926,53926,53926,53926,53926
184,广东第二师范学院,本科二批,118136,108151,121682,105972,105972,105972,105972
185,广东东软学院,本科二批,260851,275609,243516,244748,244748,244748,244748
186,广东工业大学,本科一批,40304,40431,31251,31384,30474,31811,31751
187,广东工业大学华立学院,本科二批,268493,281879,220514,210923,202904,202904,202904
188,广东海洋大学,本科二批,128279,113569,109722,107979,96438,94891,94891
189,广东技术师范大学,本科二批,112446,105494,108397,108397,108397,108397,108397
190,广东金融学院,本科二批,121053,84489,67572,69535,57297,53976,50008
191,广东警官学院,本科二批,89520,92191,91816,88287,80816,75897,73170
192,广东科技学院,本科二批,257747,255937,222067,210923,211839,211839,211839
193,广东理工学院,本科二批,260851,247757,249416,251170,187480,187480,187480
194,广东培正学院,本科二批,274530,238237,243516,248595,248595,248595,248595
195,广东石油化工学院,本科二批,142881,122058,123275,115409,108360,107956,107956
196,广东外语外贸大学,本科一批,33462,35994,8150,25200,21699,19367,21585
197,广东外语外贸大学南国商学院,本科二批,254608,247757,198658,193026,204233,204233,204233
198,广东药科大学,本科二批,135597,100103,100680,98319,64674,63017,57764
199,广东医科大学,本科二批,102673,93476,94355,98319,70430,67869,49040
200,广东医科大学,本科一批,28854,25751,25153,28227,28512,34544,34544
201,广东以色列理工学院,本科一批,109592,65365,43018,44734,65637,65637,65637
202,广西财经学院,本科二批,129750,120651,124682,150408,91807,85827,81363
203,广西城市职业大学,本科二批,276009,276009,276009,276009,276009,276009,276009
204,广西大学,本科一批,28109,28686,28476,28227,31818,29092,28940
205,广西警察学院,本科二批,150381,178596,178596,178596,178596,178596,178596
206,广西科技大学,本科二批,148869,114968,115107,109212,120745,99611,99611
207,广西科技师范学院,本科二批,181262,181490,197053,175046,170472,170472,170472
208,广西民族大学,本科二批,151865,123435,134658,116652,113302,116656,116656
209,广西民族大学相思湖学院,本科二批,243532,255937,256652,239549,237432,237432,237432
210,广西师范大学,本科二批,109592,104116,88095,94885,89544,94891,94891
211,广西师范大学漓江学院,本科二批,241940,245038,258045,258045,258045,258045,258045
212,广西外国语学院,本科二批,262361,267893,252264,219285,219274,219274,219274
213,广西医科大学,本科二批,112446,106820,104489,114177,90665,83527,83527
214,广西医科大学,本科一批,30319,46111,56118,36312,31818,27217,20472
215,广西艺术学院,本科二批,190631,197169,204917,204917,204917,204917,204917
216,广西中医药大学,本科二批,123956,94834,95599,114177,80816,75897,70874
217,广西中医药大学赛恩斯新医药学院,本科二批,219532,211459,208112,191652,188865,188865,188865
218,广州城市理工学院,本科二批,297990,225637,198658,180543,184879,184879,184879
219,广州大学,本科一批,40304,35994,34852,29486,29156,29719,29617
220,广州工商学院,本科二批,276009,278111,278111,278111,278111,278111,278111
